入場者数,節,日付（メモ）,休日ダミー,日産スタジアムダミー,晴れダミー（天気図に雨が入ってたら０）,最高気温＞３０,日積算降水量,試合前順位,最下位との順位差,前節成績,敵関東チームダミー,敵最終最下位との差（大きいほど強い人気なのでアウェー客が来る）
34035,2,２月２５,1,1,1,0,,4,14,2,1,14
10854,3,３月３,0,0,1,0,,1,17,2,0,15
28478,5,３月１８,1,1,0,0,32.0,6,12,0,1,13
25238,7,４月８,1,1,1,0,,6,12,0,1,0
33048,10,４月２９,1,1,0,0,1.0,3,15,2,0,12
22160,12,５月７,1,1,0,0,43.5,2,16,2,0,5
26115,15,５月２８,1,1,0,0,0,2,16,2,0,11
26946,17,６月１０,1,1,1,0,,2,16,2,1,1
21160,19,７月２,1,1,1,1,,1,17,2,1,3
42772,21,７月１５,1,1,1,1,,1,17,1,1,10
33261,23,８月１２,1,1,1,1,,2,16,1,0,2
33701,24,８月１９,1,1,1,1,,2,16,2,1,7
7771,27,９月１５,0,0,0,1,10.5,2,16,0,0,0
30800,29,９月２９,0,1,1,0,,2,16,0,1,4
23286,30,１０月２１,1,1,1,0,,2,16,2,0,17
37204,32,１１月１２,1,1,0,0,0.5,2,16,2,0,6
34335,33,１１月２４,0,1,1,0,,2,16,2,0,8